course_id,course_name,academic_year,study_mode
C0058S,BSC (HONS) BUSINESS INFORMATION SYSTEMS,2018,Sandwich (Optional)
C2186P,BSC (HONS) BUSINESS INFORMATION SYSTEMS (DL) (TOP-UP),2018,Part Time
R0351P,BSC (HONS) BUSINESS INFORMATION SYSTEMS (DL) (TOP-UP) (GLOBAL CAMPUS),2018,Part Time
R0423P,BSC (HONS) BUSINESS INFORMATION SYSTEMS (MDIS SINGAPORE) (TOP-UP),2018,Part Time
R0423F,BSC (HONS) BUSINESS INFORMATION SYSTEMS (MDIS SINGAPORE) (TOP-UP),2018,Full Time
C2365S,BSC (HONS) COMPUTER NETWORKS,2018,Sandwich (Optional)
C0056S,BSC (HONS) COMPUTER SCIENCE,2018,Sandwich (Optional)
C0580S,BSC (HONS) COMPUTING,2018,Sandwich (Optional)
R0205P,BSC (HONS) COMPUTING (DL) (TOP-UP) (GLOBAL CAMPUS),2018,Part Time
C1898P,BSC (HONS) COMPUTING AND INFORMATION SYSTEMS (DL) (TOP-UP),2018,Part Time
R0350P,BSC TECHNOLOGY MANAGEMENT AND COMPUTING (DL) (TOP-UP) (GLOBAL CAMPUS),2018,Part Time
C2907F,EXCHANGE PROGRAMME IN THE SCHOOL OF COMPUTING,2018,Full Time
R0403F,FDSC COMPUTING (HIGHBURY),2018,Full Time
R0404F,FDSC COMPUTING (NETWORKING) (HIGHBURY),2018,Full Time
R0405F,FDSC COMPUTING (WEB DESIGN) (HIGHBURY),2018,Full Time
C2900F,HND COMPUTING,2018,Full Time
C2515S,MENG COMPUTER SCIENCE,2018,Sandwich (Optional)
C2256F,MPHIL (SCHOOL OF COMPUTING),2018,Full Time
C2256P,MPHIL (SCHOOL OF COMPUTING),2018,Part Time
C2527F,MRES TECHNOLOGY,2018,Full Time
C2527P,MRES TECHNOLOGY,2018,Part Time
C2528P,MRES TECHNOLOGY (DL),2018,Part Time
C2528F,MRES TECHNOLOGY (DL),2018,Full Time
C2386P,MSC COMPUTER AND INFORMATION SECURITY,2018,Part Time
C2386F,MSC COMPUTER AND INFORMATION SECURITY,2018,Full Time
C1704F,MSC COMPUTER NETWORK ADMINISTRATION AND MANAGEMENT,2018,Full Time
C1704P,MSC COMPUTER NETWORK ADMINISTRATION AND MANAGEMENT,2018,Part Time
C2685P,MSC DATA ANALYTICS,2018,Part Time
C2685F,MSC DATA ANALYTICS,2018,Full Time
C1841F,MSC FORENSIC INFORMATION TECHNOLOGY,2018,Full Time
C1841P,MSC FORENSIC INFORMATION TECHNOLOGY,2018,Part Time
C0054P,MSC INFORMATION SYSTEMS,2018,Part Time
C0054F,MSC INFORMATION SYSTEMS,2018,Full Time
C1707P,MSC SOFTWARE ENGINEERING,2018,Part Time
C1707F,MSC SOFTWARE ENGINEERING,2018,Full Time
C2257F,PHD (SCHOOL OF COMPUTING),2018,Full Time
C2257P,PHD (SCHOOL OF COMPUTING),2018,Part Time
C2567P,PHD BY PUBLICATION (SCHOOL OF COMPUTING),2018,Part Time
C0968S,BSC (HONS) SOFTWARE ENGINEERING,2018,Sandwich (Optional)
C2187S,BSC (HONS) WEB TECHNOLOGIES,2018,Sandwich (Optional)
C2407S,BSC (HONS) FORENSIC COMPUTING,2018,Sandwich (Optional)
C2686S,BSC (HONS) DATA SCIENCE AND ANALYTICS,2018,Sandwich (Optional)
C2753S,BSC (HONS) CYBER SECURITY AND FORENSIC COMPUTING,2018,Sandwich (Optional)
