unit_code,lecture_start_time,lecture_day,unit_name,lecture_end_time,module_type,lecture_weeks
U22338,09:00,Tue,3D COMPUTER GRAPHICS AND ANIMATION,10:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
U22338,09:00,Tue,3D COMPUTER GRAPHICS AND ANIMATION,10:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
U21278,12:00,Mon,ADVANCED DATABASE CONCEPTS,13:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
U21278,11:00,Thu,ADVANCED DATABASE CONCEPTS,12:00,Pract,"2,3,4,5,6,8,9,10,11,12,13"
U21278,12:00,Mon,ADVANCED DATABASE CONCEPTS,13:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
U21278,11:00,Thu,ADVANCED DATABASE CONCEPTS,12:00,Pract,"14,15,16,17,18,19,21,22,23,24,25,26"
U22389,16:00,Wed,ADVANCED DATABASE CONCEPTS (DL),19:00,DL,"2,3,4,5,6,8,9,10,11,12,13"
U21279,10:00,Mon,ADVANCED NETWORKS,12:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
U21279,10:00,Mon,ADVANCED NETWORKS,12:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
U22445,16:00,Wed,ADVANCED NETWORKS (DL),19:00,DL,"14,15,16,17,18,19,21,22,23,24,25,26"
U21266,10:00,Wed,ADVANCED PROGRAMMING CONCEPTS,11:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
U21266,11:00,Fri,ADVANCED PROGRAMMING CONCEPTS,12:00,Lect,"14,16,18,21,23,25"
U21266,10:00,Wed,ADVANCED PROGRAMMING CONCEPTS,11:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
U21280,13:00,Mon,ADVANCED SOFTWARE ENGINEERING,15:00,Lect,"2,4,6,8,10,12"
U21280,09:00,Thu,ADVANCED SOFTWARE ENGINEERING,10:00,Sem,"2,4,6,8,10,12"
U21280,13:00,Mon,ADVANCED SOFTWARE ENGINEERING,15:00,Lect,"15,17,19,21,23,25"
U21280,09:00,Thu,ADVANCED SOFTWARE ENGINEERING,10:00,Sem,"15,17,19,21,23,25"
U21804,10:00,Fri,ADVANCED SYSTEMS ANALYSIS,12:00,Lect,"2,6,9,11,13"
U21804,12:00,Fri,ADVANCED SYSTEMS ANALYSIS,14:00,Drop-In,6
U21804,10:00,Fri,ADVANCED SYSTEMS ANALYSIS,12:00,Lect,"15,17,19,22,24"
