unit_code,coordinator_id,unit_name,short_name,credits,study_level
P22436,A.Paraskelidis,INTERACTION IN COMPUTER SYSTEMS,INCOS,30,FHEQ_7
P22437,P.Hart,INFORMATION SYSTEMS MANAGEMENT,INFMAN,30,FHEQ_7
P22242,A.Bennett,INFORMATION SYSTEMS DEVELOPMENT,INSYD,30,FHEQ_7
U22244,B.Carpenter,MASTERS ENGINEERING PROJECT,PJE60P,60,FHEQ_7
U22245,B.Carpenter,MASTERS STUDY PROJECT,PJS60P,60,FHEQ_7
U26153,J.Crellin,COMP TUTORIAL LEVEL 7,U26153,0,FHEQ_7
P22439,P.Hart,WEB DEVELOPMENT,WEBDEV,30,FHEQ_7
U25680*,J.Chlebikova,STUDY ABROAD (MASTERS),U25680*,60,FHEQ_7
U23829,N.Bakhshov,COMPUTER ARCHITECTURE,CAR,20,FHEQ_4
U22346,N.Savage,DIGITAL FORENSICS: ART OR SCIENCE?,DFAOS,20,FHEQ_4
U21259,M.Venn,INTRODUCTION TO DATABASE DESIGN AND DEVELOPMENT,INDADD,20,FHEQ_4
U21261,M.Poole,INTRODUCTION TO PROGRAMMING,INTPROG,40,FHEQ_4
U21262,A.Peart,NETWORK FUNDAMENTALS,NETFUN,20,FHEQ_4
U22731,N.Bakhshov,COMP TUTORIAL LEVEL 4,U22731,0,FHEQ_4
U21260,R.Boakes,WEB FOUNDATIONS 1,WEBF1,20,FHEQ_4
U22338,J.Tan,3D COMPUTER GRAPHICS AND ANIMATION,3DCGAA,20,FHEQ_5
U21266,J.Tan,ADVANCED PROGRAMMING CONCEPTS,ADPROC,20,FHEQ_5
U21268,B.Carpenter,COMPUTER OPERATING SYSTEMS AND INTERMEDIATE NETWORKING,COSINE,20,FHEQ_5
U23800,P.Beukman,COMPUTING UNDERGRADUATE AMBASSADOR,CUA,20,FHEQ_5
U21269,J.Kopecky,DATABASE PRINCIPLES,DBPRIN,20,FHEQ_5
U21270,A.Wilson,DATA STRUCTURES AND ALGORITHMS,DSALG,20,FHEQ_5
U21272,M.Dennis,GETTING USABILITY INTO DEVELOPMENT ENVIRONMENTS,GUDE,20,FHEQ_5
U21273,C.Iacob,INTRODUCTION TO SOFTWARE ENGINEERING,INSE,20,FHEQ_5
U22342,S.Usher,INFORMATION SYSTEMS AND PROJECT MANAGEMENT,ISPM,20,FHEQ_5
IWLP20,,IWLP - 20 CR - COURSE STRUCTURE PURPOSES ONLY,IWLP20,20,FHEQ_5
U21274,J.Chlebikova,DISCRETE MATHEMATICS AND FUNCTIONAL PROGRAMMING,MATHFUN,20,FHEQ_5
U22732,D.Zhou,COMP TUTORIAL LEVEL 5,U22732,0,FHEQ_5
U21264,R.Boakes,WEB-SCRIPT PROGRAMMING,WEBSCRP,20,FHEQ_5
U21279,M.Adda,ADVANCED NETWORKS,ADNET,20,FHEQ_6
U23526,J.Tan,APPLIED COMPUTER GRAPHICS AND VISION,AGAV,20,FHEQ_6
