course_id,unit_code,course_option
C0054F,P22436,Core
C0054F,P22437,Core
C0054F,P22242,Core
C0054F,U22244,Subject Core Optional
C0054F,U22245,Subject Core Optional
C0054F,U26153,Core
C0054F,P22439,Core
C0054F,U25680*,Optional
C0056S,U23829,Core
C0056S,U22346,Optional
C0056S,U21259,Core
C0056S,U21261,Core
C0056S,U21262,Core
C0056S,U22731,Core
C0056S,U21260,Core
C0056S,U22338,Optional
C0056S,U21266,Core
C0056S,U21268,Core
C0056S,U23800,Optional
C0056S,U21269,Optional
C0056S,U21270,Core
C0056S,U21272,Optional
C0056S,U21273,Core
C0056S,U22342,Optional
C0056S,IWLP20,Optional
C0056S,U21274,Core
C0056S,U22732,Core
C0056S,U21264,Optional
C0056S,U21279,Optional
C0056S,U23526,Optional
C0056S,U21280,Optional
C0056S,U25766,Optional
C0056S,U21281,Core
C0056S,U21289,Optional
C0056S,U21284,Optional
C0056S,U21274,Optional
C0056S,U25352,Optional
C0056S,U22507,Optional
C0056S,U25764,Optional
C0056S,U24739,Core
C0056S,U24935*,Optional
C0056S,U21288,Optional
C0056S,U22359,Optional
C0056S,U25681*,Optional
C0056S,U21276,Core
C0056S,U22733,Core
C0056S,U26366,Optional
C0056S,U21277,Optional
C0058S,U25157,Core
C0058S,U22344,Core
C0058S,U25765,Core
C0058S,U21259,Core
C0058S,U22349,Core
C0058S,U22731,Core
C0058S,U21260,Core
C0058S,U21267,Core
C0058S,U21769,Subject Core Optional
C0058S,U25158,Core
C0058S,U23800,Optional
C0058S,U21269,Core
C0058S,U21272,Optional
C0058S,U22342,Core
C0058S,IWLP20,Optional
C0058S,U21764,Optional
C0058S,U22040,Subject Core Optional
C0058S,U22732,Core
C0058S,U24036,Optional
C0058S,U21264,Optional
C0058S,U21278,Optional
C0058S,U21804,Subject Core Optional
C0058S,U21807,Optional
C0058S,U25159,Optional
C0058S,U21283,Optional
C0058S,U22988,Core
C0058S,U22507,Subject Core Optional
C0058S,U24739,Subject Core Optional
C0058S,U22508,Subject Core Optional
C0058S,U24935*,Optional
C0058S,U22358,Optional
C0058S,U25160,Optional
C0058S,U25681*,Optional
C0058S,U22733,Core
C0580S,U23829,Core
C0580S,U21259,Core
C0580S,U21261,Core
C0580S,U21262,Core
C0580S,U22731,Core
C0580S,U21260,Core
C0580S,U22338,Optional
C0580S,U21266,Optional
C0580S,U21267,Core
C0580S,U21769,Optional
C0580S,U21268,Core
C0580S,U23800,Optional
C0580S,U21269,Core
C0580S,U21270,Optional
C0580S,U21272,Core
C0580S,U21273,Core
C0580S,U22342,Optional
C0580S,IWLP20,Optional
C0580S,U21274,Optional
C0580S,U22732,Core
C0580S,U21264,Optional
C0580S,U21278,Optional
C0580S,U21279,Core
C0580S,U21804,Optional
C0580S,U23526,Optional
C0580S,U21280,Optional
C0580S,U25159,Optional
C0580S,U23483,Optional
C0580S,U21281,Optional
C0580S,U21283,Optional
C0580S,U21284,Optional
C0580S,U21285,Core
C0580S,U22988,Optional
C0580S,U25352,Optional
C0580S,U22507,Optional
C0580S,U25764,Optional
C0580S,U24739,Subject Core Optional
C0580S,U22508,Subject Core Optional
C0580S,U24935*,Optional
C0580S,U22358,Optional
C0580S,U22359,Optional
C0580S,U25681*,Optional
C0580S,U22733,Core
C0580S,U26366,Optional
C0580S,U21277,Optional
C0968S,U23829,Core
C0968S,U22346,Optional
C0968S,U21259,Core
C0968S,U21261,Core
C0968S,U21262,Core
C0968S,U22731,Core
C0968S,U21260,Core
C0968S,U22338,Optional
C0968S,U21266,Core
C0968S,U21268,Optional
C0968S,U23800,Optional
C0968S,U21269,Optional
C0968S,U21270,Core
C0968S,U21272,Core
C0968S,U21273,Core
C0968S,IWLP20,Optional
C0968S,U21274,Core
C0968S,U22732,Core
