location,event_name,start_datetime,end_datetime
Astoria,Delight,24/09/2018 22:00,25/09/2018 02:00
Astoria,Delight,01/10/2018 22:00,02/10/2018 02:00
Astoria,Delight,08/10/2018 22:00,09/10/2018 02:00
Astoria,Delight,15/10/2018 22:00,16/10/2018 02:00
Astoria,Delight,22/10/2018 22:00,23/10/2018 02:00
Astoria,Delight,29/10/2018 22:00,30/10/2018 02:00
Astoria,Delight,05/11/2018 22:00,06/11/2018 02:00
Astoria,Delight,12/11/2018 22:00,13/11/2018 02:00
Astoria,Delight,19/11/2018 22:00,20/11/2018 02:00
Astoria,Delight,26/11/2018 22:00,27/11/2018 02:00
Astoria,Delight,03/12/2018 22:00,04/12/2018 02:00
Astoria,Delight,10/12/2018 22:00,11/12/2018 02:00
Astoria,Delight,17/12/2018 22:00,18/12/2018 02:00
Astoria,Delight,24/12/2018 22:00,25/12/2018 02:00
Astoria,Delight,31/12/2018 22:00,01/01/2019 02:00
Astoria,Delight,07/01/2019 22:00,08/01/2019 02:00
Astoria,Delight,14/01/2019 22:00,15/01/2019 02:00
Astoria,Delight,21/01/2019 22:00,22/01/2019 02:00
Astoria,Delight,28/01/2019 22:00,29/01/2019 02:00
Astoria,Delight,04/02/2019 22:00,05/02/2019 02:00
Astoria,Delight,11/02/2019 22:00,12/02/2019 02:00
Astoria,Delight,18/02/2019 22:00,19/02/2019 02:00
Astoria,Delight,25/02/2019 22:00,26/02/2019 02:00
Astoria,Delight,04/03/2019 22:00,05/03/2019 02:00
Astoria,Delight,11/03/2019 22:00,12/03/2019 02:00
Astoria,Delight,18/03/2019 22:00,19/03/2019 02:00
Astoria,Delight,25/03/2019 22:00,26/03/2019 02:00
Astoria,Delight,01/04/2019 22:00,02/04/2019 02:00
Astoria,Delight,08/04/2019 22:00,09/04/2019 02:00
Astoria,Delight,15/04/2019 22:00,16/04/2019 02:00
Astoria,Delight,22/04/2019 22:00,23/04/2019 02:00
Astoria,Delight,29/04/2019 22:00,30/04/2019 02:00
Astoria,Delight,06/05/2019 22:00,07/05/2019 02:00
Astoria,Delight,13/05/2019 22:00,14/05/2019 02:00
Astoria,Delight,20/05/2019 22:00,21/05/2019 02:00
Astoria,Delight,27/05/2019 22:00,28/05/2019 02:00
Astoria,Delight,03/06/2019 22:00,04/06/2019 02:00
Astoria,Delight,10/06/2019 22:00,11/06/2019 02:00
Astoria,Delight,17/06/2019 22:00,18/06/2019 02:00
Astoria,Delight,24/06/2019 22:00,25/06/2019 02:00
Astoria,Delight,01/07/2019 22:00,02/07/2019 02:00
Astoria,Dirty Disco,25/09/2018 22:00,26/09/2018 02:00
Astoria,Dirty Disco,02/10/2018 22:00,03/10/2018 02:00
Astoria,Dirty Disco,09/10/2018 22:00,10/10/2018 02:00
Astoria,Dirty Disco,16/10/2018 22:00,17/10/2018 02:00
Astoria,Dirty Disco,23/10/2018 22:00,24/10/2018 02:00
Astoria,Dirty Disco,30/10/2018 22:00,31/10/2018 02:00
Astoria,Dirty Disco,06/11/2018 22:00,07/11/2018 02:00
Astoria,Dirty Disco,13/11/2018 22:00,14/11/2018 02:00
Astoria,Dirty Disco,20/11/2018 22:00,21/11/2018 02:00
Astoria,Dirty Disco,27/11/2018 22:00,28/11/2018 02:00
Astoria,Dirty Disco,04/12/2018 22:00,05/12/2018 02:00
Astoria,Dirty Disco,11/12/2018 22:00,12/12/2018 02:00
Astoria,Dirty Disco,18/12/2018 22:00,19/12/2018 02:00
Astoria,Dirty Disco,25/12/2018 22:00,26/12/2018 02:00
Astoria,Dirty Disco,01/01/2019 22:00,02/01/2019 02:00
Astoria,Dirty Disco,08/01/2019 22:00,09/01/2019 02:00
Astoria,Dirty Disco,15/01/2019 22:00,16/01/2019 02:00
Astoria,Dirty Disco,22/01/2019 22:00,23/01/2019 02:00
Astoria,Dirty Disco,29/01/2019 22:00,30/01/2019 02:00
Astoria,Dirty Disco,05/02/2019 22:00,06/02/2019 02:00
Astoria,Dirty Disco,12/02/2019 22:00,13/02/2019 02:00
Astoria,Dirty Disco,19/02/2019 22:00,20/02/2019 02:00
Astoria,Dirty Disco,26/02/2019 22:00,27/02/2019 02:00
Astoria,Dirty Disco,05/03/2019 22:00,06/03/2019 02:00
Astoria,Dirty Disco,12/03/2019 22:00,13/03/2019 02:00
Astoria,Dirty Disco,19/03/2019 22:00,20/03/2019 02:00
Astoria,Dirty Disco,26/03/2019 22:00,27/03/2019 02:00
Astoria,Dirty Disco,02/04/2019 22:00,03/04/2019 02:00
Astoria,Dirty Disco,09/04/2019 22:00,10/04/2019 02:00
Astoria,Dirty Disco,16/04/2019 22:00,17/04/2019 02:00
Astoria,Dirty Disco,23/04/2019 22:00,24/04/2019 02:00
Astoria,Dirty Disco,30/04/2019 22:00,01/05/2019 02:00
Astoria,Dirty Disco,07/05/2019 22:00,08/05/2019 02:00
Astoria,Dirty Disco,14/05/2019 22:00,15/05/2019 02:00
Astoria,Dirty Disco,21/05/2019 22:00,22/05/2019 02:00
Astoria,Dirty Disco,28/05/2019 22:00,29/05/2019 02:00
Astoria,Dirty Disco,04/06/2019 22:00,05/06/2019 02:00
Astoria,Dirty Disco,11/06/2019 22:00,12/06/2019 02:00
Astoria,Dirty Disco,18/06/2019 22:00,19/06/2019 02:00
Astoria,Dirty Disco,25/06/2019 22:00,26/06/2019 02:00
Astoria,Dirty Disco,02/07/2019 22:00,03/07/2019 02:00
Astoria,Concrete Music,27/09/2018 22:00,28/09/2018 02:00
Astoria,Concrete Music,04/10/2018 22:00,05/10/2018 02:00
Astoria,Concrete Music,11/10/2018 22:00,12/10/2018 02:00
Astoria,Concrete Music,18/10/2018 22:00,19/10/2018 02:00
Astoria,Concrete Music,25/10/2018 22:00,26/10/2018 02:00
Astoria,Concrete Music,01/11/2018 22:00,02/11/2018 02:00
Astoria,Concrete Music,08/11/2018 22:00,09/11/2018 02:00
Astoria,Concrete Music,15/11/2018 22:00,16/11/2018 02:00
Astoria,Concrete Music,22/11/2018 22:00,23/11/2018 02:00
Astoria,Concrete Music,29/11/2018 22:00,30/11/2018 02:00
Astoria,Concrete Music,06/12/2018 22:00,07/12/2018 02:00
Astoria,Concrete Music,13/12/2018 22:00,14/12/2018 02:00
Astoria,Concrete Music,20/12/2018 22:00,21/12/2018 02:00
Astoria,Concrete Music,27/12/2018 22:00,28/12/2018 02:00
Astoria,Concrete Music,03/01/2019 22:00,04/01/2019 02:00
Astoria,Concrete Music,10/01/2019 22:00,11/01/2019 02:00
Astoria,Concrete Music,17/01/2019 22:00,18/01/2019 02:00
