,Building_Name,Room_No,Room_Code
1,Anglesea,0.03,A0.03
1,Anglesea,0.28,A0.28
1,Anglesea,0.29,A0.29
1,Anglesea,0.3,A0.3
1,Anglesea,1.02,A1.02
1,Anglesea,1.03,A1.03
1,Anglesea,1.04,A1.04
1,Anglesea,1.1,A1.1
1,Anglesea,1.11,A1.11
1,Anglesea,2.01,A2.01
1,Anglesea,2.06,A2.06
1,Anglesea,2.08,A2.08
2,Buckingham,1.01,BK1.01
2,Buckingham,2.01,BK2.01
2,Buckingham,3.03,BK3.03
2,Buckingham,3.04,BK3.04
2,Buckingham,3.05,BK3.05
2,Buckingham,3.06,BK3.06
3,Burnaby,1.25,BB1.25
3,Burnaby,1.26,BB1.26
3,Burnaby,2.23,BB2.23
3,Burnaby,2.24,BB2.24
3,Burnaby,2.26,BB2.26
3,Burnaby,3.3,BB3.30
3,Burnaby,4.03,BB4.03
3,Burnaby,4.04,BB4.04
3,Burnaby,4.05,BB4.05
4,Dennis Sciama,1.01,DS1.01
4,Dennis Sciama,1.02,DS1.02
4,Dennis Sciama,1.03,DS1.03
4,Dennis Sciama,1.04,DS1.04
4,Dennis Sciama,1.05,DS1.05
4,Dennis Sciama,1.07,DS1.07
4,Dennis Sciama,1.08,DS1.08
4,Dennis Sciama,1.09,DS1.09
4,Dennis Sciama,1.1,DS1.10
4,Dennis Sciama,1.11,DS1.11
4,Dennis Sciama,1.12,DS1.12
4,Dennis Sciama,2.01,DS2.01
4,Dennis Sciama,2.02,DS2.02
4,Dennis Sciama,2.07,DS2.07
4,Dennis Sciama,2.08,DS2.08
4,Dennis Sciama,2.09,DS2.09
4,Dennis Sciama,2.1,DS2.10
4,Dennis Sciama,2.12,DS2.12
4,Dennis Sciama,2.13,DS2.13
4,Dennis Sciama,2.14,DS2.14
5,Dental Academy,0.04,WBB0.04
5,Dental Academy,0.23,WBB0.23
5,Dental Academy,0.24,WBB0.24
5,Dental Academy,0.27,WBB0.27
6,Eldon,0.2,EL0.20
6,Eldon,W 1.01,ELW 1.01
6,Eldon,W 1.02,ELW 1.02
6,Eldon,W 1.03,ELW 1.03
6,Eldon,W 1.04,ELW 1.04
6,Eldon,W 1.05,ELW 1.05
6,Eldon,W 1.08,ELW 1.08
6,Eldon,W 1.09,ELW 1.09
6,Eldon,W 1.10,ELW 1.10
6,Eldon,W 1.11,ELW 1.11
7,Future Technology Center,Floor 1,FTC Floor 1
7,Future Technology Center,Floor 2,FTC Floor 2
8,King Henry,0.01,KH0.01
8,King Henry,0.02,KH0.02
8,King Henry,1.07,KH1.07
8,King Henry,3.09,KH3.09
8,King Henry,3.13,KH3.13
8,King Henry,3.14,KH3.14
9,Langstone Campus,EH,LNEH
9,Langstone Campus,LT,LNLT
10,Library,0.35,UL0.35
10,Library,0.36,UL0.36
10,Library,0.37,UL0.37
10,Library,OA3,ULOA3
11,Lion Gate,1.22,LG1.22
11,Lion Gate,2.01,LG2.01
