Postcodes,Latitude,Longitude
PO1 1AN,50.799961,-1.079573
PO1 1AQ,50.799167,-1.090813
PO1 1AU,50.800057,-1.079216
PO1 1AW,50.801295,-1.077759
PO1 1BJ,50.800081,-1.078847
PO1 1BS,50.800219,-1.082661
PO1 1DE,50.80027,-1.091529
PO1 1DH,50.800454,-1.092065
PO1 1EB,50.801722,-1.086265
PO1 1ED,50.801699,-1.086819
PO1 1EE,50.801746,-1.08598
PO1 1EF,50.802077,-1.085676
PO1 1EY,50.800605,-1.088302
PO1 1EZ,50.800605,-1.088302
PO1 1HF,50.800866,-1.083798
PO1 1HL,50.800387,-1.08351
PO1 1HR,50.800887,-1.086451
PO1 1HS,50.800819,-1.085786
PO1 1HT,50.800889,-1.084436
PO1 1HX,50.800438,-1.084204
PO1 1JA,50.800183,-1.080392
PO1 1JD,50.801774,-1.08378
PO1 1JF,50.80167,-1.082009
PO1 1JG,50.801603,-1.082592
PO1 1JH,50.800791,-1.084722
PO1 1JJ,50.800324,-1.084646
PO1 1JL,50.799989,-1.085433
PO1 1JN,50.800217,-1.085939
PO1 1JQ,50.801527,-1.083161
PO1 1JR,50.800048,-1.079529
PO1 1JS,50.80122,-1.083025
PO1 1JT,50.799337,-1.09071
PO1 1JU,50.798973,-1.086673
PO1 1JW,50.800474,-1.085353
PO1 1JZ,50.800046,-1.079203
PO1 1LA,50.799407,-1.087005
PO1 1LB,50.798502,-1.086242
PO1 1LE,50.798564,-1.083815
PO1 1LF,50.798425,-1.084442
PO1 1LG,50.798068,-1.084761
PO1 1LJ,50.797951,-1.083557
PO1 1LL,50.797893,-1.081955
PO1 1LP,50.798232,-1.082743
PO1 1LQ,50.798008,-1.084038
PO1 1LR,50.79876,-1.082477
PO1 1LU,50.799245,-1.083489
PO1 1NG,50.799926,-1.084384
PO1 1NH,50.799919,-1.083448
PO1 1NJ,50.800097,-1.07869
PO1 1NL,50.799741,-1.088304
PO1 1NT,50.79987,-1.07834
PO1 1NU,50.799898,-1.086471
PO1 1NX,50.799599,-1.083922
PO1 1PB,50.799574,-1.079538
PO1 1PD,50.799268,-1.078395
PO1 1PJ,50.797895,-1.077641
PO1 1PL,50.797933,-1.079074
PO1 1PP,50.796997,-1.078085
PO1 1PR,50.797573,-1.077875
PO1 1PT,50.797266,-1.077682
PO1 1PW,50.801133,-1.077762
PO1 1QA,50.802453,-1.083129
PO1 1QB,50.802937,-1.081799
PO1 1QD,50.803223,-1.079282
PO1 1QE,50.802912,-1.079785
PO1 1QF,50.802988,-1.078094
PO1 1QG,50.802244,-1.082976
PO1 1QH,50.802031,-1.081022
PO1 1QJ,50.802636,-1.081323
PO1 1QL,50.802336,-1.07859
PO1 1QN,50.802545,-1.080033
PO1 1QQ,50.802229,-1.082338
PO1 1QR,50.802358,-1.079058
PO1 1QS,50.801929,-1.080599
PO1 1QT,50.800773,-1.078862
PO1 1QU,50.800951,-1.079738
PO1 1QW,50.801996,-1.079945
PO1 1QX,50.801619,-1.078873
PO1 1QY,50.800464,-1.079506
PO1 1QZ,50.801414,-1.080339
PO1 1RA,50.800793,-1.08028
PO1 1RB,50.798249,-1.084942
PO1 1RE,50.797201,-1.07862
PO1 1RF,50.797201,-1.07862
PO1 1RG,50.797645,-1.079065
PO1 1RH,50.798214,-1.081594
PO1 1RQ,50.797191,-1.079642
PO1 2AE,50.790302,-1.102846
PO1 2BL,50.796306,-1.090599
PO1 2BN,50.791906,-1.103084
PO1 2BP,50.792358,-1.103373
PO1 2BS,50.792063,-1.103535
PO1 2BW,50.792104,-1.103109
PO1 2DD,50.796541,-1.093077
PO1 2DF,50.796254,-1.094374
PO1 2DS,50.79729,-1.089941
PO1 2EE,50.795346,-1.095498
PO1 2EH,50.792967,-1.100751
PO1 2ES,50.792314,-1.10231
PO1 2ET,50.792709,-1.102218
PO1 2EU,50.791377,-1.102101
PO1 2EW,50.793179,-1.101329
PO1 2EX,50.79289,-1.101235
PO1 2EY,50.792629,-1.101141
PO1 2EZ,50.791527,-1.102836
PO1 2GD,50.791403,-1.107861
PO1 2GL,50.791596,-1.10834
PO1 2GR,50.791576,-1.108099
PO1 2HD,50.792069,-1.102074
PO1 2HE,50.792669,-1.100572
PO1 2HG,50.792362,-1.101501
PO1 2HH,50.789742,-1.105807
PO1 2HJ,50.790692,-1.103051
PO1 2HL,50.792542,-1.102731
