STUDENT_ID,UNIT CODE,W1,W2,W3,W4,W5,W6,W7,W8,W9,W10,W11,W12,W14,W15,W16,W17,W18,W19,W21,W22,W23,W24,W25,W26
UP914294,U20749,0,2,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UP861532,U20768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP823565,U20768,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP903024,U21259,0,1,0,0,1,0,0,0,0,1,1,2,2,1,0,0,0,0,0,0,0,0,0,0
UP890112,U21259,0,0,0,0,0,1,0,1,1,0,2,2,0,0,0,1,0,0,0,0,0,0,0,0
UP898807,U21259,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0
UP894248,U21259,0,0,0,0,2,2,0,0,1,2,2,0,2,2,2,0,0,0,0,0,0,0,0,0
UP885638,U21259,0,1,0,2,2,2,0,2,2,2,2,2,1,2,2,1,0,0,0,0,0,0,0,0
UP918897,U21259,0,0,0,0,0,1,0,0,0,1,0,1,0,1,2,1,0,0,0,0,0,0,0,0
UP899670,U21259,0,0,0,2,2,2,0,2,2,2,1,2,2,2,2,1,0,0,0,0,0,0,0,0
UP879016,U21259,0,1,0,2,2,2,0,2,2,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0
UP903749,U21259,0,0,0,1,0,1,0,1,0,1,1,2,0,2,2,0,0,0,0,0,0,0,0,0
UP853640,U21259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP879792,U21259,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP911248,U21259,0,0,0,0,0,1,0,1,1,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0
UP852632,U21259,0,1,0,2,2,2,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0
UP896129,U21259,0,1,0,1,1,2,0,1,2,1,1,2,2,2,1,1,0,0,0,0,0,0,0,0
UP896522,U21259,0,1,0,0,0,1,0,0,1,0,1,1,0,2,1,0,0,0,0,0,0,0,0,0
UP904274,U21259,0,0,0,2,1,2,0,2,2,2,2,2,2,2,2,1,0,0,0,0,0,0,0,0
UP786997,U21259,0,0,0,0,1,1,0,1,1,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0
UP892802,U21259,0,0,0,0,0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,0,0,0,0
UP859011,U21259,0,0,0,0,0,0,0,0,2,1,0,0,0,1,2,1,0,0,0,0,0,0,0,0
UP906558,U21259,0,2,0,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP899590,U21259,0,1,0,1,2,1,0,0,2,0,1,2,1,2,1,0,0,0,0,0,0,0,0,0
UP889823,U21259,0,0,0,0,1,1,0,1,0,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
UP900337,U21259,0,0,0,0,0,1,0,1,0,1,1,0,1,2,0,0,0,0,0,0,0,0,0,0
UP881056,U21259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP783374,U21259,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
UP907723,U21259,0,0,0,0,1,1,0,2,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0
UP890294,U21259,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
UP804697,U21259,0,0,0,1,1,2,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0
