dt,dt_iso,uk_date,city_id,city_name,lat,lon,temp,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,rain_1h,rain_3h,rain_24h,rain_today,snow_1h,snow_3h,snow_24h,snow_today,clouds_all,weather_id,weather_main,weather_description,weather_icon
1546905600,2019-01-08 00:00:00 +0000 UTC,08/01/2019 00:00,2639996,,,,281.89,281.15,282.15,1027,,,93,5,290,,,,,,,,,40,802,Clouds,scattered clouds,03n
1546909200,2019-01-08 01:00:00 +0000 UTC,08/01/2019 01:00,2639996,,,,281.48,281.15,282.15,1027,,,93,5,290,,,,,,,,,40,802,Clouds,scattered clouds,03n
1546912800,2019-01-08 02:00:00 +0000 UTC,08/01/2019 02:00,2639996,,,,281.48,281.15,282.15,1028,,,87,6,310,,,,,,,,,8,800,Clear,sky is clear,02n
1546916400,2019-01-08 03:00:00 +0000 UTC,08/01/2019 03:00,2639996,,,,279.89,279.15,280.15,1028,,,81,4,300,,,,,,,,,0,800,Clear,Sky is Clear,01n
1546920000,2019-01-08 04:00:00 +0000 UTC,08/01/2019 04:00,2639996,,,,279.15,279.15,279.15,1028,,,81,4,300,,,,,,,,,0,800,Clear,Sky is Clear,01n
1546923600,2019-01-08 05:00:00 +0000 UTC,08/01/2019 05:00,2639996,,,,279.15,279.15,279.15,1027,,,75,5,310,,,,,,,,,75,803,Clouds,broken clouds,04n
1546927200,2019-01-08 06:00:00 +0000 UTC,08/01/2019 06:00,2639996,,,,279.15,279.15,279.15,1029,,,75,4,300,,,,,,,,,20,801,Clouds,few clouds,02n
1546930800,2019-01-08 07:00:00 +0000 UTC,08/01/2019 07:00,2639996,,,,278.8,278.15,279.15,1028,,,75,3,320,,,,,,,,,20,801,Clouds,few clouds,02n
1546934400,2019-01-08 08:00:00 +0000 UTC,08/01/2019 08:00,2639996,,,,278.43,277.15,279.15,1029,,,75,4,310,,,,,,,,,20,801,Clouds,few clouds,02n
1546938000,2019-01-08 09:00:00 +0000 UTC,08/01/2019 09:00,2639996,,,,278.86,277.15,280.15,1029,,,75,3,320,,,,,,,,,20,801,Clouds,few clouds,02d
1546941600,2019-01-08 10:00:00 +0000 UTC,08/01/2019 10:00,2639996,,,,279.29,278.15,280.15,1030,,,75,2,320,,,,,,,,,20,801,Clouds,few clouds,02d
1546945200,2019-01-08 11:00:00 +0000 UTC,08/01/2019 11:00,2639996,,,,280.14,279.15,281.15,1030,,,70,3,320,,,,,,,,,0,800,Clear,Sky is Clear,01d
1546948800,2019-01-08 12:00:00 +0000 UTC,08/01/2019 12:00,2639996,,,,281.15,280.15,282.15,1029,,,65,5,330,,,,,,,,,20,801,Clouds,few clouds,02d
1546952400,2019-01-08 13:00:00 +0000 UTC,08/01/2019 13:00,2639996,,,,281.43,281.15,282.15,1029,,,65,5,340,,,,,,,,,20,801,Clouds,few clouds,02d
1546956000,2019-01-08 14:00:00 +0000 UTC,08/01/2019 14:00,2639996,,,,281.15,281.15,281.15,1029,,,65,6,330,,,,,,,,,20,801,Clouds,few clouds,02d
1546959600,2019-01-08 15:00:00 +0000 UTC,08/01/2019 15:00,2639996,,,,281.15,281.15,281.15,1029,,,61,5,340,,,,,,,,,20,801,Clouds,few clouds,02d
1546963200,2019-01-08 16:00:00 +0000 UTC,08/01/2019 16:00,2639996,,,,280.15,280.15,280.15,1029,,,65,4,340,,,,,,,,,20,801,Clouds,few clouds,02d
1546966800,2019-01-08 17:00:00 +0000 UTC,08/01/2019 17:00,2639996,,,,278.98,278.15,279.15,1029,,,70,1,0,,,,,,,,,20,801,Clouds,few clouds,02n
1546970400,2019-01-08 18:00:00 +0000 UTC,08/01/2019 18:00,2639996,,,,278.58,277.15,279.15,1030,,,70,3,340,,,,,,,,,20,801,Clouds,few clouds,02n
1546974000,2019-01-08 19:00:00 +0000 UTC,08/01/2019 19:00,2639996,,,,277.6,276.15,279.15,1030,,,75,1,0,,,,,,,,,0,800,Clear,Sky is Clear,01n
1546977600,2019-01-08 20:00:00 +0000 UTC,08/01/2019 20:00,2639996,,,,276.88,276.15,278.15,1030,,,80,2,330,,,,,,,,,0,800,Clear,Sky is Clear,01n
1546981200,2019-01-08 21:00:00 +0000 UTC,08/01/2019 21:00,2639996,,,,276.64,276.15,277.15,1030,,,100,2,340,,,,,,,,,0,800,Clear,Sky is Clear,01n
1546984800,2019-01-08 22:00:00 +0000 UTC,08/01/2019 22:00,2639996,,,,275.52,274.15,277.15,1030,,,86,5,341,,,,,,,,,0,800,Clear,Sky is Clear,01n
1546988400,2019-01-08 23:00:00 +0000 UTC,08/01/2019 23:00,2639996,,,,275.7,275.15,276.15,1029,,,93,2,290,,,,,,,,,0,800,Clear,Sky is Clear,01n
1546992000,2019-01-09 00:00:00 +0000 UTC,09/01/2019 00:00,2639996,,,,275.15,275.15,275.15,1029,,,93,2,290,,,,,,,,,0,800,Clear,Sky is Clear,01n
1546995600,2019-01-09 01:00:00 +0000 UTC,09/01/2019 01:00,2639996,,,,275.49,275.15,276.15,1029,,,93,3,290,,,,,,,,,0,800,Clear,Sky is Clear,01n
1546999200,2019-01-09 02:00:00 +0000 UTC,09/01/2019 02:00,2639996,,,,274.82,274.15,275.15,1029,,,100,2,300,,,,,,,,,0,800,Clear,Sky is Clear,01n
1547002800,2019-01-09 03:00:00 +0000 UTC,09/01/2019 03:00,2639996,,,,274.77,274.15,275.15,1029,,,100,3,320,,,,,,,,,0,800,Clear,Sky is Clear,01n
1547006400,2019-01-09 04:00:00 +0000 UTC,09/01/2019 04:00,2639996,,,,274.48,274.15,275.15,1029,,,100,3,320,,,,,,,,,0,800,Clear,Sky is Clear,01n
1547010000,2019-01-09 05:00:00 +0000 UTC,09/01/2019 05:00,2639996,,,,274.48,274.15,275.15,1029,,,93,3,350,,,,,,,,,20,801,Clouds,few clouds,02n
