lecture_weeks - Split 1,lecture_weeks - Split 2,lecture_weeks - Split 3,lecture_weeks - Split 4,lecture_weeks - Split 5,lecture_weeks - Split 6,lecture_weeks - Split 7,lecture_weeks - Split 8,lecture_weeks - Split 9,lecture_weeks - Split 10,lecture_id,unit_code,lecture_start_time,lecture_day,unit_name,lecture_end_time,module_type,lecture_weeks
2,3,4,5,6,8,9,10,11,12,12932,U22338,30/12/1899 09:00:00,Tue,3D COMPUTER GRAPHICS AND ANIMATION,30/12/1899 10:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,12933,U22338,30/12/1899 09:00:00,Tue,3D COMPUTER GRAPHICS AND ANIMATION,30/12/1899 10:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,12934,U21278,30/12/1899 12:00:00,Mon,ADVANCED DATABASE CONCEPTS,30/12/1899 13:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
2,3,4,5,6,8,9,10,11,12,12935,U21278,30/12/1899 11:00:00,Thu,ADVANCED DATABASE CONCEPTS,30/12/1899 12:00:00,Pract,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,12936,U21278,30/12/1899 12:00:00,Mon,ADVANCED DATABASE CONCEPTS,30/12/1899 13:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,21,22,23,24,12937,U21278,30/12/1899 11:00:00,Thu,ADVANCED DATABASE CONCEPTS,30/12/1899 12:00:00,Pract,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,12938,U22389,30/12/1899 16:00:00,Wed,ADVANCED DATABASE CONCEPTS (DL),30/12/1899 19:00:00,DL,"2,3,4,5,6,8,9,10,11,12,13"
2,3,4,5,6,8,9,10,11,12,12939,U21279,30/12/1899 10:00:00,Mon,ADVANCED NETWORKS,30/12/1899 12:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,12940,U21279,30/12/1899 10:00:00,Mon,ADVANCED NETWORKS,30/12/1899 12:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,21,22,23,24,12941,U22445,30/12/1899 16:00:00,Wed,ADVANCED NETWORKS (DL),30/12/1899 19:00:00,DL,"14,15,16,17,18,19,21,22,23,24,25,26"
2,3,4,5,6,8,9,10,11,12,12942,U21266,30/12/1899 10:00:00,Wed,ADVANCED PROGRAMMING CONCEPTS,30/12/1899 11:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,16,18,21,23,25,,,,,12943,U21266,30/12/1899 11:00:00,Fri,ADVANCED PROGRAMMING CONCEPTS,30/12/1899 12:00:00,Lect,"14,16,18,21,23,25"
14,15,16,17,18,19,21,22,23,24,12944,U21266,30/12/1899 10:00:00,Wed,ADVANCED PROGRAMMING CONCEPTS,30/12/1899 11:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
2,4,6,8,10,12,,,,,12945,U21280,30/12/1899 13:00:00,Mon,ADVANCED SOFTWARE ENGINEERING,30/12/1899 15:00:00,Lect,"2,4,6,8,10,12"
2,4,6,8,10,12,,,,,12946,U21280,30/12/1899 09:00:00,Thu,ADVANCED SOFTWARE ENGINEERING,30/12/1899 10:00:00,Sem,"2,4,6,8,10,12"
15,17,19,21,23,25,,,,,12947,U21280,30/12/1899 13:00:00,Mon,ADVANCED SOFTWARE ENGINEERING,30/12/1899 15:00:00,Lect,"15,17,19,21,23,25"
15,17,19,21,23,25,,,,,12948,U21280,30/12/1899 09:00:00,Thu,ADVANCED SOFTWARE ENGINEERING,30/12/1899 10:00:00,Sem,"15,17,19,21,23,25"
2,6,9,11,13,,,,,,12949,U21804,30/12/1899 10:00:00,Fri,ADVANCED SYSTEMS ANALYSIS,30/12/1899 12:00:00,Lect,"2,6,9,11,13"
